Player,Driving_Rank,Average_Drive_Distance,Year,Percent_Fairway_Hit,Percent_Greens_Hit,Top_10's,Percent_BreakPar_Rank,Avg_Score_Rank,Money_Rank,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut,Masters_Top_10,Masters_Top_25
John Mahaffey,133.0,250.2,1994,77.61,64.35,,159.0,152.0,148.0,7.22,12.3,25.27,72.94,,
Chip Beck,134.0,250.1,1994,75.76,62.82,1.0,42.0,36.0,40.0,13.33,19.55,30.93,71.38,0.0,1.0
Bill Britton,134.0,250.1,1994,63.44,65.56,,129.0,87.0,158.0,11.11,15.35,27.27,71.83,,
Denis Watson,134.0,250.1,1994,58.36,55.82,,167.0,166.0,210.0,8.24,8.88,24.05,75.42,,
Larry Mize,137.0,249.7,1994,74.06,62.43,1.0,143.0,73.0,84.0,10.59,14.81,27.27,71.54,1.0,1.0
Lennie Clements,138.0,249.2,1994,73.64,71.77,5.0,7.0,6.0,12.0,16.67,16.49,47.26,69.37,,
Esteban Toledo,139.0,248.9,1994,74.55,64.35,,144.0,91.0,142.0,8.16,13.33,31.91,71.93,,
Bob May,139.0,248.9,1994,61.21,61.11,,154.0,151.0,236.0,8.82,14.0,22.45,73.14,,
Trevor Dodds,141.0,248.6,1994,60.18,62.73,,95.0,111.0,151.0,18.37,14.88,28.26,72.56,,
Hale Irwin,141.0,248.6,1994,79.1,69.21,1.0,36.0,38.0,33.0,18.56,16.26,34.83,71.29,0.0,1.0
Dillard Pruitt,143.0,248.1,1994,78.52,66.85,1.0,124.0,108.0,72.0,14.05,13.44,30.7,72.06,,
David Ogrin,144.0,247.9,1994,76.67,60.52,1.0,107.0,125.0,110.0,15.79,14.69,29.81,72.85,,
Fred Funk,145.0,247.3,1994,79.25,69.59,1.0,86.0,37.0,59.0,12.34,15.1,36.3,70.95,0.0,0.0
Loren Roberts,146.0,247.2,1994,75.93,73.11,3.0,22.0,4.0,5.0,16.83,20.4,29.29,70.27,1.0,1.0
Bob Gilder,147.0,247.0,1994,71.81,66.05,,110.0,118.0,112.0,10.91,14.34,34.62,72.26,,
Morris Hatalsky,148.0,246.5,1994,69.53,62.78,,94.0,67.0,144.0,11.11,15.5,34.18,71.33,,
David Frost,149.0,246.4,1994,69.71,60.61,1.0,80.0,81.0,77.0,15.73,15.77,31.76,72.08,0.0,0.0
Willie Wood,150.0,246.0,1994,65.67,61.34,,147.0,130.0,157.0,9.28,12.5,32.18,72.81,,
Corey Pavin,151.0,245.2,1994,78.44,65.05,3.0,31.0,32.0,7.0,13.27,17.77,36.96,70.73,1.0,1.0
John Morse,152.0,244.9,1994,78.8,62.67,,118.0,59.0,85.0,12.87,13.78,32.63,72.0,,
Tommy Moore,153.0,244.4,1994,55.47,62.28,,155.0,141.0,201.0,11.69,9.38,31.51,72.8,,
Lanny Wadkins,154.0,244.3,1994,64.78,61.34,,141.0,156.0,183.0,11.34,13.64,29.03,73.41,0.0,1.0
Jeff Woodland,155.0,244.2,1994,68.35,62.96,,92.0,59.0,115.0,18.18,13.5,33.33,71.41,,
David Edwards,155.0,244.2,1994,77.49,69.05,2.0,96.0,53.0,49.0,20.35,13.29,30.48,70.64,0.0,1.0
Fulton Allem,157.0,244.1,1994,78.5,62.43,,163.0,159.0,130.0,10.59,12.15,20.25,73.73,0.0,0.0
Bruce Fleisher,158.0,243.3,1994,80.16,65.4,1.0,89.0,44.0,79.0,14.89,15.28,33.33,70.89,,
Doug Martin,159.0,243.2,1994,70.82,60.7,1.0,140.0,110.0,106.0,8.26,15.69,27.18,72.81,,
Bob Lohr,160.0,242.4,1994,78.23,69.44,,50.0,57.0,74.0,10.66,17.11,37.5,71.47,,
D.A. Weibring,161.0,242.2,1994,78.09,67.9,2.0,58.0,68.0,53.0,10.96,18.89,30.99,72.3,,
John Inman,162.0,241.0,1994,72.83,59.26,,165.0,155.0,119.0,10.45,9.64,25.78,73.38,0.0,0.0
Larry Rinker,163.0,240.5,1994,67.49,61.32,,113.0,105.0,125.0,16.19,15.67,25.26,71.94,,
Mike Reid,164.0,240.1,1994,70.68,65.4,,128.0,122.0,138.0,10.11,13.72,34.57,72.43,,
Ed Fiori,165.0,238.0,1994,75.24,66.67,,119.0,102.0,131.0,16.67,11.69,35.71,72.13,,
Billy Ray Brown,166.0,231.3,1994,46.04,50.88,,161.0,167.0,,12.99,9.79,25.35,76.68,,
Stan Utley,167.0,227.8,1994,77.47,52.91,,153.0,149.0,179.0,8.24,12.26,28.4,73.35,,
John Daly,1.0,282.3,1995,53.06,58.93,,145.0,153.0,126.0,9.82,12.71,37.62,71.44,0.0,0.0
Dennis Paulson,2.0,281.3,1995,51.66,65.28,,62.0,121.0,133.0,8.85,14.74,46.23,72.14,,
Davis Love III,3.0,280.2,1995,68.23,68.75,4.0,8.0,2.0,3.0,13.95,18.71,45.45,69.12,1.0,1.0
Vijay Singh,4.0,279.3,1995,69.63,68.2,1.0,70.0,47.0,12.0,9.4,12.46,50.93,71.18,0.0,0.0
John Adams,5.0,275.0,1995,64.46,72.44,2.0,33.0,8.0,63.0,15.24,16.35,42.0,70.18,,
David Duval,6.0,274.6,1995,67.08,71.43,4.0,1.0,5.0,5.0,15.6,20.34,49.29,69.81,,
Woody Austin,7.0,273.9,1995,61.13,68.04,2.0,30.0,43.0,41.0,17.76,15.46,42.96,71.28,,
Dan Pohl,8.0,273.8,1995,66.76,71.79,2.0,15.0,29.0,52.0,12.5,19.85,40.21,70.07,,
Kelly Gibson,8.0,273.8,1995,60.85,70.14,1.0,48.0,71.0,92.0,10.08,14.11,49.59,70.71,,
Steve Stricker,10.0,272.7,1995,71.37,70.68,2.0,5.0,6.0,16.0,15.86,18.8,44.85,69.68,,
Joe Ozaki,11.0,272.2,1995,66.43,67.59,3.0,3.0,19.0,21.0,16.67,20.2,41.59,71.0,,
Fred Couples,12.0,271.6,1995,67.5,68.89,1.0,9.0,34.0,65.0,12.5,18.63,44.74,70.4,1.0,1.0
Michael Bradley,13.0,271.5,1995,59.82,64.06,1.0,59.0,57.0,56.0,11.72,15.2,42.86,71.0,,
"Dave Stockton, Jr.",14.0,271.2,1995,62.59,65.05,,159.0,147.0,178.0,15.2,11.36,28.45,72.39,,
Andy Bean,15.0,270.8,1995,59.92,63.89,,163.0,157.0,200.0,9.72,10.27,34.33,73.29,,
Robert Gamez,15.0,270.8,1995,65.76,65.33,1.0,7.0,111.0,68.0,12.07,17.63,50.45,71.0,,
"Jim Gallagher, Jr.",17.0,270.7,1995,64.41,68.67,1.0,53.0,61.0,26.0,12.41,16.16,39.86,71.17,,
Pat Bates,17.0,270.7,1995,57.88,64.89,,144.0,141.0,167.0,5.94,14.4,36.96,72.68,,
Tom Purtzer,19.0,270.0,1995,68.53,70.68,,41.0,36.0,91.0,12.33,18.92,36.36,71.46,,
Peter Jacobsen,19.0,270.0,1995,73.75,75.56,4.0,4.0,1.0,1.0,14.88,16.12,53.04,69.47,0.0,0.0
John Huston,21.0,269.7,1995,66.26,66.67,3.0,26.0,20.0,47.0,14.66,14.63,48.21,70.9,0.0,1.0
Duffy Waldorf,22.0,268.7,1995,69.69,69.26,2.0,45.0,54.0,30.0,14.05,15.64,42.86,70.68,0.0,1.0
Bruce Vaughan,23.0,268.6,1995,63.12,69.02,,130.0,114.0,139.0,12.78,13.73,33.33,71.38,,
Neal Lancaster,24.0,268.2,1995,58.66,60.61,,72.0,134.0,116.0,18.94,12.9,39.67,71.6,0.0,0.0
Curt Byrum,25.0,268.1,1995,61.9,66.33,,72.0,103.0,95.0,12.88,14.16,42.28,71.27,,
"Joe Acosta, Jr.",26.0,268.0,1995,70.25,68.89,,154.0,123.0,185.0,7.41,11.88,37.66,72.12,,
Charlie Rymer,27.0,267.6,1995,61.09,67.99,,49.0,119.0,161.0,14.12,12.26,49.38,72.0,,
Bob Tway,28.0,267.5,1995,68.66,68.46,1.0,14.0,25.0,57.0,14.52,19.81,39.64,70.39,,
Mike Heinen,29.0,266.9,1995,66.4,66.2,1.0,25.0,73.0,25.0,17.24,17.26,39.13,71.38,0.0,0.0
Dudley Hart,30.0,266.7,1995,70.14,68.89,,119.0,94.0,121.0,10.64,15.97,31.06,71.35,,
Mark Calcavecchia,30.0,266.7,1995,70.3,69.58,2.0,9.0,12.0,18.0,15.53,18.0,43.92,70.86,0.0,0.0
Brian Kamm,30.0,266.7,1995,73.91,65.28,1.0,76.0,128.0,84.0,13.27,16.61,35.29,72.32,,
Keith Fergus,33.0,266.4,1995,69.78,71.26,1.0,35.0,9.0,75.0,15.05,17.24,39.33,69.93,,
Steve Jones,34.0,266.3,1995,68.37,69.64,1.0,28.0,22.0,66.0,15.18,18.82,37.14,70.75,,
Marco Dawson,34.0,266.3,1995,63.28,64.58,,107.0,142.0,177.0,10.31,13.41,40.45,71.94,,
Donnie Hammond,36.0,266.2,1995,70.56,64.14,1.0,81.0,54.0,67.0,12.12,16.03,36.97,70.45,,
Guy Boros,37.0,266.1,1995,65.93,69.16,1.0,70.0,108.0,77.0,15.38,12.79,43.52,72.08,,
Mike Standly,38.0,265.9,1995,67.48,66.67,2.0,109.0,127.0,62.0,6.38,13.85,43.75,71.57,,
Fuzzy Zoeller,38.0,265.9,1995,71.33,71.43,,16.0,26.0,96.0,15.29,16.98,43.21,69.85,0.0,0.0
Tommy Armour III,40.0,265.8,1995,74.46,67.96,1.0,47.0,78.0,90.0,14.88,17.8,35.45,71.05,,
Gene Sauers,41.0,265.3,1995,66.93,65.84,1.0,83.0,92.0,27.0,12.96,14.95,39.18,71.06,,
Brad Bryant,42.0,265.2,1995,70.8,69.44,2.0,44.0,89.0,29.0,18.1,16.09,36.27,71.63,0.0,0.0
Andrew Magee,43.0,265.1,1995,71.19,70.09,1.0,89.0,63.0,40.0,15.29,12.85,39.19,70.39,,
Hal Sutton,43.0,265.1,1995,77.49,70.24,1.0,16.0,51.0,46.0,12.39,19.22,40.0,71.38,0.0,0.0
J.L. Lewis,45.0,265.0,1995,60.9,66.67,,37.0,118.0,179.0,17.53,13.64,45.16,71.29,,
Kenny Perry,46.0,264.9,1995,71.37,68.41,3.0,55.0,10.0,6.0,17.02,14.29,40.15,69.57,0.0,1.0
Scott Verplank,46.0,264.9,1995,72.02,63.43,1.0,24.0,56.0,73.0,11.46,19.68,40.23,71.5,,
Craig Stadler,48.0,264.8,1995,68.32,68.8,2.0,22.0,11.0,24.0,13.33,16.03,46.53,70.33,0.0,0.0
Lee Janzen,49.0,264.7,1995,70.93,66.84,2.0,81.0,87.0,2.0,11.28,16.42,36.67,71.32,0.0,1.0
Mark O'Meara,50.0,264.2,1995,65.24,73.33,3.0,11.0,18.0,9.0,13.48,18.98,41.91,70.24,0.0,0.0
Tom Kite,51.0,263.9,1995,67.97,69.35,1.0,79.0,57.0,81.0,14.52,16.19,33.61,70.33,0.0,0.0
Grant Waite,52.0,263.7,1995,75.62,71.7,1.0,94.0,80.0,93.0,9.3,15.81,37.29,71.38,,
Steve Elkington,53.0,263.6,1995,71.65,70.05,2.0,16.0,3.0,13.0,23.66,14.83,41.18,70.64,1.0,1.0
Jay Delsing,53.0,263.6,1995,67.29,65.22,,167.0,162.0,211.0,11.83,11.39,23.81,73.14,,
Ronnie Black,55.0,263.5,1995,62.62,69.44,1.0,57.0,48.0,86.0,16.55,12.94,44.7,71.22,,
Steve Lowery,55.0,263.5,1995,68.51,68.57,2.0,11.0,27.0,36.0,17.02,17.7,42.11,71.35,0.0,0.0
Patrick Burke,55.0,263.5,1995,66.0,68.75,,30.0,37.0,74.0,16.28,15.34,44.63,71.38,,
Brian Henninger,58.0,263.4,1995,72.0,63.07,,156.0,151.0,94.0,8.76,12.75,32.31,72.87,1.0,1.0
Gil Morgan,59.0,263.1,1995,69.5,69.75,,129.0,101.0,143.0,11.01,12.0,40.2,71.26,,
Robin Freeman,59.0,263.1,1995,68.33,67.68,,97.0,100.0,137.0,14.29,14.45,35.25,71.17,,
Eduardo Romero,61.0,262.9,1995,68.35,64.38,,114.0,121.0,181.0,15.94,14.37,30.16,71.87,,
Phil Mickelson,62.0,262.8,1995,71.36,68.58,1.0,46.0,60.0,10.0,11.97,18.52,37.04,70.89,1.0,1.0
Jesper Parnevik,63.0,262.5,1995,70.55,67.62,1.0,42.0,72.0,59.0,14.18,14.73,44.12,71.14,,
Scott McCarron,64.0,262.2,1995,68.4,64.08,,26.0,135.0,198.0,4.94,19.21,44.74,72.06,,
Bill Glasson,65.0,262.0,1995,72.92,69.21,2.0,51.0,12.0,35.0,14.58,15.98,39.13,70.86,0.0,0.0
Paul Goydos,66.0,261.8,1995,68.81,63.82,,152.0,133.0,130.0,8.28,13.1,34.46,71.96,,
Harry Taylor,67.0,261.7,1995,68.94,64.25,1.0,38.0,98.0,103.0,15.22,16.6,40.23,71.44,,
Dan Forsman,68.0,261.5,1995,68.29,66.27,,66.0,91.0,118.0,14.16,13.24,44.23,71.32,0.0,0.0
Ed Humenik,69.0,261.3,1995,65.29,63.89,,127.0,142.0,149.0,13.33,13.69,33.0,72.78,,
Yoshinori Mizumaki,69.0,261.3,1995,72.12,64.16,,108.0,116.0,141.0,14.52,13.79,34.78,71.3,,
Lee Rinker,71.0,261.1,1995,70.03,68.18,,110.0,77.0,105.0,15.73,12.05,37.35,71.35,,
Scott Simpson,71.0,261.1,1995,69.89,73.2,3.0,2.0,4.0,11.0,10.95,20.7,49.24,69.81,,
Paul Stankowski,71.0,261.1,1995,68.9,67.19,,94.0,111.0,100.0,10.85,14.89,38.14,71.61,,
Tom Lehman,74.0,261.0,1995,70.56,71.19,2.0,64.0,28.0,19.0,14.68,15.94,36.63,71.27,0.0,0.0
Mark Brooks,74.0,261.0,1995,70.28,71.55,2.0,20.0,30.0,42.0,14.29,16.92,43.08,70.61,0.0,0.0
Jeff Sluman,76.0,260.9,1995,67.77,64.88,,93.0,66.0,78.0,11.5,14.39,38.68,70.84,0.0,0.0
Kirk Triplett,77.0,260.6,1995,76.48,69.68,2.0,42.0,22.0,32.0,14.18,16.53,40.15,70.24,,
Jay Don Blake,77.0,260.6,1995,71.67,69.44,1.0,96.0,32.0,39.0,13.33,15.21,34.23,70.95,,
Chip Beck,79.0,260.5,1995,60.51,62.9,1.0,102.0,138.0,82.0,12.8,11.43,43.22,71.89,0.0,0.0
Paul Azinger,80.0,260.3,1995,64.19,66.03,1.0,75.0,94.0,71.0,10.48,14.66,43.3,72.24,0.0,1.0
Bob Burns,81.0,260.2,1995,65.44,63.44,,99.0,132.0,168.0,16.94,12.15,38.94,71.68,,
Jay Haas,82.0,260.1,1995,69.05,67.82,2.0,88.0,50.0,61.0,11.46,13.36,42.7,71.61,1.0,1.0
Billy Mayfair,83.0,260.0,1995,76.43,67.59,1.0,101.0,67.0,20.0,14.17,16.18,29.73,71.78,,
Nolan Henke,84.0,259.9,1995,67.71,64.89,1.0,78.0,128.0,85.0,15.0,13.83,39.18,72.22,,
John Mahaffey,84.0,259.9,1995,74.86,71.56,,140.0,137.0,151.0,16.0,12.4,31.0,71.69,,
Bobby Wadkins,84.0,259.9,1995,70.21,70.12,,147.0,114.0,119.0,8.72,12.86,37.5,71.52,,
Mike Hulbert,87.0,259.6,1995,69.26,69.44,2.0,60.0,21.0,34.0,17.52,15.38,36.29,70.89,,
Rick Fehr,87.0,259.6,1995,72.79,66.3,1.0,53.0,39.0,79.0,14.05,16.94,36.61,71.42,0.0,0.0
Howard Twitty,89.0,259.5,1995,68.03,64.48,,141.0,109.0,163.0,8.85,13.15,38.24,71.21,,
Blaine McCallister,89.0,259.5,1995,77.19,69.34,1.0,64.0,17.0,55.0,12.84,13.93,45.36,70.61,,
Glen Day,91.0,258.9,1995,67.63,59.44,,151.0,158.0,170.0,14.41,13.27,29.63,72.88,,
Jeff Maggert,91.0,258.9,1995,74.63,69.68,1.0,29.0,43.0,44.0,12.37,18.67,39.36,71.2,0.0,0.0
Bob Estes,93.0,258.8,1995,64.94,64.48,,39.0,16.0,58.0,15.91,16.22,40.65,70.06,0.0,0.0
Jerry Pate,94.0,258.5,1995,68.85,66.43,,142.0,152.0,194.0,9.68,16.67,26.44,72.84,,
Dillard Pruitt,95.0,257.9,1995,72.53,69.44,2.0,22.0,35.0,49.0,13.46,20.0,36.36,71.29,,
Russ Cochran,95.0,257.9,1995,65.24,67.04,,117.0,82.0,124.0,10.0,15.96,31.86,71.23,,
Clark Dennis,97.0,257.8,1995,72.84,65.13,,153.0,153.0,173.0,7.69,10.51,41.82,72.65,0.0,0.0
Steve Pate,98.0,257.6,1995,62.9,66.67,,135.0,106.0,117.0,8.06,13.31,40.54,72.14,,
Chris DiMarco,99.0,257.4,1995,62.23,61.73,,120.0,139.0,154.0,11.03,14.17,35.29,72.15,,
Scott Hoch,99.0,257.4,1995,59.07,63.89,,61.0,87.0,99.0,15.38,13.58,42.42,71.59,1.0,1.0
Jim McGovern,101.0,257.3,1995,67.34,66.0,,91.0,92.0,123.0,12.87,15.83,34.44,71.65,0.0,0.0
Jim Furyk,101.0,257.3,1995,66.34,65.02,2.0,6.0,12.0,33.0,16.78,17.24,47.14,70.48,,
Tommy Tolles,103.0,257.2,1995,55.51,64.14,1.0,40.0,81.0,72.0,17.65,13.45,44.62,71.6,,
Steve Rintoul,103.0,257.2,1995,62.12,64.16,,112.0,135.0,172.0,10.4,13.65,38.14,71.7,,
J.P. Hayes,105.0,257.1,1995,66.67,63.89,,63.0,128.0,158.0,14.81,14.71,40.0,72.13,,
Mike Sullivan,106.0,256.9,1995,56.63,61.31,,136.0,145.0,122.0,10.71,12.8,37.86,72.13,0.0,0.0
Brian Claar,106.0,256.9,1995,73.76,63.96,2.0,133.0,69.0,37.0,10.19,13.72,36.81,71.04,,
Mike Smith,108.0,256.8,1995,70.46,67.32,,114.0,124.0,175.0,15.94,16.09,25.4,71.91,,
Payne Stewart,108.0,256.8,1995,63.43,63.29,3.0,66.0,31.0,14.0,9.73,15.09,43.4,70.59,0.0,0.0
Jim Carter,110.0,256.6,1995,72.42,70.59,,114.0,40.0,87.0,10.22,13.83,37.5,70.05,,
Emlyn Aubrey,110.0,256.6,1995,72.52,70.61,1.0,50.0,48.0,83.0,12.8,17.14,38.14,70.62,,
Brad Faxon,112.0,256.5,1995,62.69,62.96,2.0,13.0,43.0,22.0,9.28,20.9,41.76,70.87,0.0,1.0
Ted Tryba,113.0,256.4,1995,70.39,62.52,,160.0,150.0,180.0,10.08,9.67,39.29,72.84,,
Brandel Chamblee,114.0,256.2,1995,76.04,68.82,1.0,16.0,37.0,64.0,15.32,18.27,41.44,70.89,,
Nick Faldo,115.0,255.4,1995,79.03,72.42,4.0,32.0,7.0,4.0,21.24,14.98,40.38,70.71,0.0,1.0
Joel Edwards,116.0,255.2,1995,71.14,64.06,,146.0,128.0,156.0,13.95,12.23,33.33,71.91,,
Rocco Mediate,117.0,255.1,1995,70.28,61.79,,139.0,147.0,165.0,13.25,12.5,37.18,72.06,,
Larry Nelson,118.0,254.9,1995,72.08,59.06,,161.0,161.0,202.0,5.19,13.09,32.43,72.87,,
Lanny Wadkins,118.0,254.9,1995,60.87,67.63,1.0,84.0,84.0,102.0,10.87,15.61,38.82,71.88,0.0,0.0
Gary Hallberg,120.0,254.8,1995,69.18,63.61,,105.0,166.0,221.0,13.58,15.27,31.58,73.53,,
John Wilson,121.0,254.7,1995,68.9,67.88,,77.0,63.0,104.0,20.93,15.29,30.0,71.33,,
Justin Leonard,121.0,254.7,1995,75.44,66.67,1.0,106.0,68.0,48.0,14.77,17.15,25.36,71.16,,
Mark McCumber,123.0,254.6,1995,73.57,66.67,1.0,52.0,41.0,38.0,7.5,17.16,43.42,70.4,0.0,0.0
Mike Springer,124.0,254.5,1995,53.74,56.35,,128.0,169.0,166.0,9.52,13.55,37.5,73.39,0.0,0.0
D.A. Weibring,124.0,254.5,1995,73.93,66.67,,69.0,125.0,150.0,13.86,16.21,35.42,71.06,,
Curtis Strange,126.0,254.0,1995,74.68,65.82,1.0,97.0,57.0,43.0,15.91,13.06,36.8,71.05,1.0,1.0
Bruce Lietzke,126.0,254.0,1995,80.36,66.94,2.0,87.0,85.0,28.0,15.0,15.31,35.21,71.42,0.0,0.0
Dave Barr,126.0,254.0,1995,70.15,70.63,,124.0,98.0,115.0,10.71,13.24,38.1,71.35,,
Fred Funk,129.0,253.8,1995,81.33,69.38,,80.0,74.0,76.0,8.48,17.43,35.63,71.08,,
Skip Kendall,130.0,253.7,1995,70.92,63.89,,90.0,83.0,153.0,12.4,16.11,33.9,71.19,,
David Feherty,131.0,253.6,1995,71.15,57.48,,150.0,160.0,140.0,15.38,10.62,36.26,72.72,,
Scott Gump,132.0,253.3,1995,74.57,68.58,,137.0,90.0,111.0,12.82,13.8,32.41,71.68,,
Mark Wiebe,133.0,253.1,1995,70.09,67.39,1.0,149.0,103.0,120.0,7.53,15.48,31.71,71.4,,
Mark Wurtz,133.0,253.1,1995,61.49,63.19,,134.0,125.0,176.0,13.4,11.98,36.56,71.18,,
Steve Gotsche,135.0,252.7,1995,71.65,65.46,,100.0,110.0,148.0,11.83,16.81,30.34,71.88,,
Bill Porter,135.0,252.7,1995,73.84,61.11,,169.0,167.0,226.0,8.7,9.71,25.81,73.6,,
Doug Tewell,137.0,252.6,1995,78.3,64.1,,118.0,113.0,155.0,14.42,14.98,29.9,71.44,,
Greg Kraft,137.0,252.6,1995,67.9,60.7,,120.0,155.0,129.0,13.76,11.72,38.46,73.43,,
Kawika Cotner,139.0,252.5,1995,64.5,64.39,,72.0,140.0,188.0,12.36,15.77,37.65,71.53,,
Don Pooley,140.0,252.2,1995,72.96,68.06,1.0,56.0,51.0,89.0,15.18,15.92,37.86,71.0,,
Joey Rassett,140.0,252.2,1995,73.43,67.71,,168.0,158.0,203.0,8.86,10.55,30.56,72.78,,
David Edwards,142.0,252.0,1995,76.19,65.74,,143.0,65.0,142.0,11.46,13.71,32.95,71.94,0.0,1.0
Jeff Leonard,143.0,251.4,1995,69.05,62.44,,113.0,144.0,189.0,14.85,15.29,28.72,72.21,,
John Cook,144.0,251.2,1995,70.54,68.55,,125.0,117.0,144.0,19.63,11.28,34.62,71.74,0.0,0.0
Lennie Clements,145.0,251.1,1995,77.83,73.66,1.0,36.0,24.0,51.0,17.6,18.21,33.33,70.42,,
Bart Bryant,146.0,250.9,1995,70.03,76.01,,130.0,105.0,128.0,12.36,12.67,36.05,72.0,,
Keith Clearwater,147.0,250.8,1995,64.86,60.94,,92.0,146.0,160.0,15.79,13.57,36.89,72.2,,
Billy Andrade,148.0,250.6,1995,61.58,65.56,1.0,111.0,102.0,53.0,11.57,15.31,33.04,70.84,,
Tray Tyner,149.0,250.0,1995,79.47,65.93,,126.0,75.0,108.0,9.09,13.36,39.29,71.19,,
Omar Uresti,150.0,249.8,1995,74.54,70.16,,120.0,75.0,152.0,10.09,12.73,40.2,71.11,,
Don Reese,151.0,249.7,1995,67.75,63.64,,138.0,168.0,201.0,10.11,13.45,35.71,73.0,,
John Morse,152.0,249.6,1995,74.54,66.26,1.0,155.0,86.0,17.0,11.93,9.89,36.54,71.41,0.0,0.0
Doug Martin,152.0,249.6,1995,71.85,66.86,,158.0,96.0,145.0,12.82,11.45,31.48,71.26,,
Larry Mize,154.0,249.2,1995,77.82,68.52,1.0,85.0,70.0,54.0,18.82,14.76,31.33,71.2,0.0,0.0
Loren Roberts,154.0,249.2,1995,75.62,67.53,1.0,103.0,33.0,15.0,13.95,15.79,29.84,70.06,0.0,1.0
Corey Pavin,156.0,248.9,1995,68.54,69.44,2.0,21.0,15.0,7.0,23.01,14.18,41.28,70.35,0.0,1.0
Bob Gilder,157.0,248.7,1995,72.94,59.26,,162.0,149.0,157.0,8.26,12.64,30.0,72.76,,
Tony Sills,158.0,248.0,1995,70.61,65.83,,148.0,96.0,147.0,14.81,14.22,26.67,72.33,,
Chris Perry,159.0,247.9,1995,68.55,63.64,,34.0,78.0,146.0,15.79,13.73,48.41,70.74,,
Mike Reid,160.0,247.8,1995,73.94,67.93,1.0,130.0,62.0,114.0,12.36,14.35,32.14,71.24,,
Ben Crenshaw,161.0,247.7,1995,74.94,69.26,2.0,58.0,41.0,31.0,18.18,13.73,39.82,70.84,1.0,1.0
Jerry Haas,162.0,247.3,1995,65.82,61.83,,86.0,106.0,138.0,11.2,14.51,40.52,71.76,,
Bob Lohr,163.0,246.4,1995,76.33,65.95,1.0,68.0,43.0,60.0,13.38,17.88,31.76,70.74,,
David Ogrin,164.0,246.3,1995,77.19,66.05,1.0,120.0,119.0,112.0,15.6,14.96,28.16,72.05,,
Dicky Thompson,165.0,245.4,1995,75.09,68.13,,165.0,156.0,203.0,15.58,11.34,22.54,72.94,,
Dicky Pride,166.0,245.1,1995,70.49,58.89,,164.0,164.0,135.0,15.84,9.41,28.72,72.95,0.0,0.0
Hale Irwin,167.0,244.9,1995,77.26,69.32,2.0,104.0,51.0,45.0,18.28,15.25,27.06,70.08,0.0,1.0
Mark Carnevale,168.0,244.1,1995,75.77,55.82,,166.0,165.0,199.0,7.06,14.29,23.68,73.59,,
Mike Brisky,169.0,244.0,1995,67.29,61.35,,157.0,163.0,182.0,9.68,14.89,25.58,73.06,,
Tim Herron,1.0,284.5,1996,57.14,66.67,1.0,59.0,53.0,12.0,12.12,14.03,44.09,70.85,0.0,0.0
Steve Jones,2.0,283.4,1996,60.61,69.02,2.0,19.0,19.0,49.0,13.64,16.72,46.46,70.39,,
John Adams,3.0,281.9,1996,59.74,66.67,,26.0,62.0,86.0,11.36,16.82,44.19,70.85,,
Steve Stricker,3.0,281.9,1996,55.36,64.29,1.0,67.0,81.0,56.0,8.93,17.42,38.1,70.88,0.0,0.0
Kelly Gibson,5.0,279.8,1996,63.51,67.27,1.0,52.0,84.0,73.0,7.43,16.62,44.6,71.79,,
Davis Love III,6.0,279.7,1996,70.05,69.44,3.0,10.0,11.0,9.0,6.73,20.77,46.15,70.14,1.0,1.0
Jesper Parnevik,7.0,278.5,1996,63.47,72.7,2.0,46.0,14.0,44.0,12.14,16.06,41.48,69.8,,
Grant Waite,8.0,278.2,1996,70.69,68.01,1.0,65.0,41.0,40.0,9.48,14.58,45.05,71.5,,
"Joe Acosta, Jr.",9.0,278.0,1996,63.14,66.0,,112.0,114.0,166.0,8.0,12.45,45.16,72.4,,
Vijay Singh,10.0,277.8,1996,61.48,67.86,4.0,6.0,3.0,4.0,11.61,19.72,49.07,70.29,0.0,0.0
Sandy Lyle,11.0,277.5,1996,60.54,69.58,1.0,67.0,33.0,87.0,5.95,15.89,45.0,71.81,0.0,0.0
Robert Gamez,12.0,277.1,1996,67.14,68.0,1.0,39.0,39.0,79.0,14.0,17.65,36.84,71.19,,
Tom Purtzer,13.0,276.9,1996,63.57,66.94,1.0,111.0,59.0,69.0,13.75,14.35,35.21,71.17,,
Carl Paulson,13.0,276.9,1996,59.29,61.39,,150.0,152.0,210.0,15.0,6.83,36.0,73.89,,
Fred Couples,15.0,276.7,1996,70.57,75.56,4.0,1.0,1.0,1.0,12.0,20.87,53.13,69.14,0.0,1.0
Andy Bean,16.0,276.3,1996,54.64,65.28,,155.0,155.0,231.0,6.25,7.88,36.36,73.56,,
Mark Calcavecchia,16.0,276.3,1996,70.33,73.08,3.0,15.0,28.0,27.0,12.82,16.96,47.02,70.27,0.0,1.0
Stuart Appleby,18.0,276.2,1996,64.06,63.62,1.0,80.0,118.0,113.0,11.29,14.38,39.67,72.82,,
David Duval,19.0,276.1,1996,74.16,73.37,2.0,5.0,30.0,22.0,15.29,19.27,52.5,70.73,0.0,1.0
Jeff Julian,20.0,275.8,1996,60.36,62.22,,32.0,130.0,171.0,10.0,14.29,50.65,73.14,,
